surge_set,yaw_set,surge_hat,yaw_hat,nu_error,eta_error
0.0,0.0,0.06759361922740936,0.39351746439933777,-0.06759361922740936,-0.39351746439933777
0.0,0.0,0.06721247732639313,0.39040014147758484,-0.06721247732639313,-0.39040014147758484
0.0,0.0,0.06499490141868591,0.3854596018791199,-0.06499490141868591,-0.3854596018791199
0.0,0.0,0.06461796164512634,0.3794071674346924,-0.06461796164512634,-0.3794071674346924
0.0,0.0,0.06424541771411896,0.37446171045303345,-0.06424541771411896,-0.37446171045303345
0.0,0.0,0.06047385185956955,0.3677296042442322,-0.06047385185956955,-0.3677296042442322
0.0,0.0,0.056978341192007065,0.36117127537727356,-0.056978341192007065,-0.36117127537727356
0.0,0.0,0.05373288318514824,0.3549131453037262,-0.05373288318514824,-0.3549131453037262
0.0,0.0,0.05071401223540306,0.34907713532447815,-0.05071401223540306,-0.34907713532447815
0.0,0.0,0.0479004867374897,0.34367835521698,-0.0479004867374897,-0.34367835521698
0.0,0.0,0.04751579836010933,0.3368636965751648,-0.04751579836010933,-0.3368636965751648
0.0,0.0,0.047135092318058014,0.33257609605789185,-0.047135092318058014,-0.33257609605789185
0.0,0.0,0.04606805369257927,0.32874542474746704,-0.04606805369257927,-0.32874542474746704
0.0,0.0,0.045021213591098785,0.32202982902526855,-0.045021213591098785,-0.32202982902526855
0.0,0.0,0.04399559274315834,0.31937626004219055,-0.04399559274315834,-0.31937626004219055
0.0,0.0,0.04361897334456444,0.3127972483634949,-0.04361897334456444,-0.3127972483634949
0.0,0.0,0.04256775975227356,0.31117677688598633,-0.04256775975227356,-0.31117677688598633
0.0,0.0,0.041567109525203705,0.3047509491443634,-0.041567109525203705,-0.3047509491443634
0.0,0.0,0.04058489575982094,0.3039778769016266,-0.04058489575982094,-0.3039778769016266
0.0,0.0,0.03961685672402382,0.29770293831825256,-0.03961685672402382,-0.29770293831825256
0.0,0.0,0.03924264758825302,0.29776638746261597,-0.03924264758825302,-0.29776638746261597
0.0,0.0,0.03827620670199394,0.29766616225242615,-0.03827620670199394,-0.29766616225242615
0.0,0.0,0.03732360154390335,0.2977738678455353,-0.03732360154390335,-0.2977738678455353
0.0,0.0,0.03638363629579544,0.2978880703449249,-0.03638363629579544,-0.2978880703449249
0.0,0.0,0.03548453748226166,0.29783645272254944,-0.03548453748226166,-0.29783645272254944
0.0,0.0,0.03459345921874046,0.2977548837661743,-0.03459345921874046,-0.2977548837661743
0.0,0.0,0.03373908996582031,0.29765427112579346,-0.03373908996582031,-0.29765427112579346
0.0,0.0,0.03291814774274826,0.29753535985946655,-0.03291814774274826,-0.29753535985946655
0.0,0.0,0.03212766349315643,0.2972315847873688,-0.03212766349315643,-0.2972315847873688
0.0,0.0,0.03133583068847656,0.29692190885543823,-0.03133583068847656,-0.29692190885543823
0.0,0.0,0.030572189018130302,0.29643508791923523,-0.030572189018130302,-0.29643508791923523
0.0,0.0,0.029834292829036713,0.29593488574028015,-0.029834292829036713,-0.29593488574028015
0.0,0.0,0.02909088134765625,0.2952517569065094,-0.02909088134765625,-0.2952517569065094
0.0,0.0,0.028371799737215042,0.2946365177631378,-0.028371799737215042,-0.2946365177631378
0.0,0.0,0.027674946933984756,0.2937277555465698,-0.027674946933984756,-0.2937277555465698
0.0,0.0,0.026969611644744873,0.2927858829498291,-0.026969611644744873,-0.2927858829498291
0.0,0.0,0.026285724714398384,0.2868872582912445,-0.026285724714398384,-0.2868872582912445
0.0,0.0,0.02590700052678585,0.2861742377281189,-0.02590700052678585,-0.2861742377281189
0.0,0.0,0.026854312047362328,0.2852307856082916,-0.026854312047362328,-0.2852307856082916
0.0,0.0,0.026484427973628044,0.2794336974620819,-0.026484427973628044,-0.2794336974620819
0.0,0.0,0.02726045623421669,0.2790420651435852,-0.02726045623421669,-0.2790420651435852
0.0,0.0,0.027889929711818695,0.2782817780971527,-0.027889929711818695,-0.2782817780971527
0.0,0.0,0.028414541855454445,0.2768832743167877,-0.028414541855454445,-0.2768832743167877
0.0,0.0,0.02881729044020176,0.2755298316478729,-0.02881729044020176,-0.2755298316478729
0.0,0.0,0.029110152274370193,0.2738229036331177,-0.029110152274370193,-0.2738229036331177
0.0,0.0,0.029330935329198837,0.2721446454524994,-0.029330935329198837,-0.2721446454524994
0.0,0.0,0.029459824785590172,0.27005311846733093,-0.029459824785590172,-0.27005311846733093
0.0,0.0,0.02953253500163555,0.2679838538169861,-0.02953253500163555,-0.2679838538169861
0.0,0.0,0.029554445296525955,0.265560120344162,-0.029554445296525955,-0.265560120344162
0.0,0.0,0.029530320316553116,0.26322996616363525,-0.029530320316553116,-0.26322996616363525
0.0,0.0,0.02943866141140461,0.2604485750198364,-0.02943866141140461,-0.2604485750198364
0.0,0.0,0.027866305783391,0.2577756345272064,-0.027866305783391,-0.2577756345272064
0.0,0.0,0.02631005272269249,0.25482818484306335,-0.02631005272269249,-0.25482818484306335
0.0,0.0,0.024630174040794373,0.2495676577091217,-0.024630174040794373,-0.2495676577091217
0.0,0.0,0.02311009168624878,0.246531680226326,-0.02311009168624878,-0.246531680226326
0.0,0.0,0.02161564864218235,0.24361050128936768,-0.02161564864218235,-0.24361050128936768
0.0,0.0,0.02012443169951439,0.2385334074497223,-0.02012443169951439,-0.2385334074497223
0.0,0.0,0.018666986376047134,0.2357536405324936,-0.018666986376047134,-0.2357536405324936
0.0,0.0,0.01724208891391754,0.23256193101406097,-0.01724208891391754,-0.23256193101406097
0.0,0.0,0.015827789902687073,0.22956408560276031,-0.015827789902687073,-0.22956408560276031
