Lat_measured,Lon_measured,lat_hat,lon_hat,yaw_measured,yaw_hat
62.469764709472656,6.239303112030029,62.469764709472656,6.239303112030029,-0.18345147768129522,-0.18453147557225202
62.469764709472656,6.239302635192871,62.4697647094722,6.239303064148132,-0.1874306837665003,-0.18589875291221825
62.469764709472656,6.239302158355713,62.469764709470354,6.23930297298681,-0.18844300905336553,-0.18722779073287388
62.469764709472656,6.239302158355713,62.46976470946677,6.2393029723831805,-0.19127065340151006,-0.18870459604066836
62.469764709472656,6.239301681518555,62.469764709460776,6.239302842135072,-0.1919339338885706,-0.1900976708609683
62.469764709472656,6.239301681518555,62.46976470945084,6.239302840931848,-0.1965239683734339,-0.19180941054231093
62.469764709472656,6.2393012046813965,62.46976470943733,6.239302839687089,-0.19741422334779912,-0.1934376941242708
62.469764709472656,6.239300727844238,62.469764709421696,6.239302626338906,-0.20128900209535772,-0.19529029016423438
62.469764709472656,6.239300727844238,62.46976470939592,6.239302624100891,-0.20238858858217412,-0.19706700613259898
62.469764709472656,6.23930025100708,62.4697647093688,6.239302383493285,-0.2056520620929163,-0.1989924861749639
62.469764709472656,6.239299774169922,62.46976470933161,6.23930211806794,-0.20715314546693975,-0.2008755097789563
62.469764709472656,6.239299774169922,62.46976470928196,6.239301878060841,-0.21102792421449834,-0.2029585701644816
62.469764709472656,6.239299297332764,62.469764709216875,6.239301613112602,-0.21102792421449834,-0.20402318337961534
62.469764709472656,6.239299297332764,62.469764709137564,6.2393013734721,-0.21561795869936162,-0.20624882148131496
62.469764709472656,6.239299297332764,62.46976470903831,6.239301156673897,-0.21697932878603154,-0.20838930946291434
62.469764709472656,6.239299297332764,62.46976470887668,6.23930114719995,-0.21933538118471319,-0.21055279543106442
62.469764709472656,6.2392988204956055,62.46976470874297,6.239300903799848,-0.2205746809588831,-0.2126250047282321
62.469764709472656,6.239298343658447,62.4697647085874,6.239300635669329,-0.22389060655702764,-0.21482330720700826
62.469764709472656,6.239298343658447,62.469764708407624,6.23930039303955,-0.22499019304384404,-0.21691308939775533
62.469764709472656,6.239297866821289,62.46976470820266,6.2393001255466265,-0.2271369139300745,-0.21901001183253577
62.469764709472656,6.239297866821289,62.46976470784615,6.239300110246883,-0.2271369139300745,-0.22008189847422388
62.469764709472656,6.239297389984131,62.469764707611674,6.23929982136251,-0.2321112791644495,-0.22235899650518043
62.469764709472656,6.239297389984131,62.469764707163094,6.239299804039087,-0.2329490820514124,-0.2244939313490324
62.46976852416992,6.239296913146973,62.46976508990621,6.239299495980636,-0.23595124879945928,-0.22671778181024083
62.46976852416992,6.2392964363098145,62.46976543572319,6.239299169296761,-0.2373126188861292,-0.2288573009435897
62.46976852416992,6.239295959472656,62.46976574817799,6.239298825753705,-0.2403491179095667,-0.23108887193955896
62.46976852416992,6.239295959472656,62.46976603048847,6.239298514826709,-0.2416933218585413,-0.23323377330445227
62.46976852416992,6.239295482635498,62.46976628556304,6.2392981854705605,-0.2446077505694788,-0.2354580785949869
62.46976852416992,6.239295482635498,62.469766516027306,6.239297887313693,-0.24595195451845342,-0.2375965394022903
62.46976852416992,6.239295482635498,62.469766724255464,6.239297617331634,-0.24998361269106084,-0.23992732652204118
62.46976852416992,6.23929500579834,62.469766912388295,6.239297324909036,-0.2511528174029749,-0.24214456564689835
62.46976852416992,6.23929500579834,62.46976708236403,6.239297060068707,-0.2529504934894007,-0.24432235862123353
62.46976852416992,6.239294528961182,62.46976723593241,6.239296772257257,-0.2529504934894007,-0.24541772855422161
62.46976852416992,6.239294528961182,62.46976737469128,6.239296511569093,-0.2571914831744593,-0.24769346054129082
62.46976852416992,6.239294528961182,62.46976750004782,6.239296275353306,-0.2580645720111292,-0.2498314152358092
62.46976852416992,6.239294052124023,62.46976761329443,6.239296013362768,-0.2613456884967249,-0.25208670457817073
62.46976852416992,6.239294052124023,62.469767715594365,6.2392957759425425,-0.2613456884967249,-0.25411863359203535
62.46976852416992,6.239294052124023,62.46976780800523,6.239295560720796,-0.26506311098207647,-0.2563220265992552
62.46976852416992,6.239293575286865,62.46976789147462,6.239295317665928,-0.26586610475649053,-0.2583877893555431
62.46976852416992,6.239293575286865,62.46976796686495,6.2392950973307455,-0.2686236540423792,-0.2605254814970426
62.46976852416992,6.239293098449707,62.46976803495076,6.239294849636095,-0.26989776292909795,-0.2625792755192933
62.46976852416992,6.239293098449707,62.469768047317615,6.239294800931396,-0.26989776292909795,-0.26369453469884085
62.46976852416992,6.239293098449707,62.46976810759255,6.239294580406824,-0.2727773825274866,-0.2657204873253898
62.46976852416992,6.239292621612549,62.46976816201605,6.239294332534441,-0.2727773825274866,-0.2668369130600756
62.46976852416992,6.239292621612549,62.469768211171434,6.239294107842569,-0.2770188490497034,-0.2689744536129295
62.46976852416992,6.239292621612549,62.46976825553925,6.239293904064758,-0.2799161116229456,-0.2711912575953881
62.46976852416992,6.239292144775391,62.469768295575946,6.239293671300014,-0.280858341847555,-0.2732834387437384
62.46976852416992,6.239292144775391,62.469768331699456,6.239293460217349,-0.280858341847555,-0.27440785828185144
62.46976852416992,6.239291667938232,62.46976836431013,6.239293220870692,-0.28326684633363897,-0.27642074567627306
62.46976852416992,6.239291191101074,62.46976839371895,6.239292955948999,-0.2880490461932581,-0.2787143151558569
62.46976852416992,6.239290714263916,62.469768420222636,6.239292667898163,-0.2888692061053675,-0.2808637586274778
62.46976852416992,6.239290237426758,62.46976844410105,6.239292358939128,-0.2908242384540003,-0.28299695398325353
