timestamp,rpm_port,rpm_stb,temp_port,temp_stb,power_port,power_stb,total_power,battery_count,current_mode,current_fuel_capacity,fx,fz
1729066031.0916922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.1913445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.2914972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.3915472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.4915245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.5911746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.6911774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.7915392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.8912199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066031.9914112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.0916128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.291264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.3913782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.4912255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.5913656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.691527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.7915301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.8915331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066032.9913344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.0916848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.1913805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.291008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.3914855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.4915786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.5911977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.6912878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.791327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.891401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066033.9913294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.0915306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.191522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.2915354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.3913255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.4916134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.590724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.6916087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.7916422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.8914156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066034.991882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.0914032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.1914454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.2918327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.39144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
1729066035.4914217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0
